,Country,Energy Supply,Energy Supply per Capita,% Renewable
0,Afghanistan,321,10,78.66928
1,Albania,102,35,100.0
2,Algeria,1959,51,0.55101
3,American Samoa,...,...,0.641026
4,Andorra,9,121,88.69565
5,Angola,642,27,70.90909
6,Anguilla,2,136,0.0
7,Antigua and Barbuda,8,84,0.0
8,Argentina,3378,79,24.06452
9,Armenia,143,48,28.23606
10,Aruba,12,120,14.87069
11,Australia,5386,231,11.81081
12,Austria,1391,164,72.45282
13,Azerbaijan,567,60,6.384345
14,Bahamas,45,118,0.0
15,Bahrain,574,425,0.0
16,Bangladesh,1625,10,1.966329
17,Barbados,19,69,0.0
18,Belarus,1142,120,0.463389
19,Belgium,2338,210,9.959739
20,Belize,13,39,64.69003
21,Benin,170,16,0.0
22,Bermuda,6,88,0.0
23,Bhutan,63,83,100.0
24,Bolivia ,336,32,31.47712
25,"Bonaire, Sint Eustatius and Saba",5,213,0.0
26,Bosnia and Herzegovina,266,70,41.46467
27,Botswana,86,39,0.131406
28,Brazil,12149,59,69.64803
29,British Virgin Islands,2,85,0.0
30,Brunei Darussalam,127,310,0.045434
31,Bulgaria,703,97,17.23461
32,Burkina Faso,164,10,14.50068
33,Burundi,58,6,86.79245
34,Cabo Verde,7,15,21.22762
35,Cambodia,250,17,57.31159
36,Cameroon,307,14,70.88626
37,Canada,10431,296,61.94543
38,Cayman Islands,8,131,0.0
39,Central African Republic,23,5,85.63536
40,Chad,77,6,0.0
41,Chile,1613,92,28.00657
42,China,127191,93,19.75491
43,Hong Kong,585,82,0.0
44,"China, Macao Special Administrative Region",47,83,0.0
45,Colombia,1513,32,63.00284
46,Comoros,5,7,11.62791
47,Congo,102,23,57.74887
48,Cook Islands,1,48,0.0
49,Costa Rica,222,47,88.73642
50,Côte d'Ivoire,547,25,22.82278
51,Croatia,321,75,64.28412
52,Cuba,585,51,0.663532
53,Curaçao,78,502,0.0
54,Cyprus,82,71,6.480186
55,Czech Republic,1751,166,7.067134
56,Democratic People's Republic of Korea,612,25,70.18029
57,Democratic Republic of the Congo,888,12,99.5943
58,Denmark,725,129,33.53766
59,Djibouti,11,13,0.0
60,Dominica,2,28,36.63366
61,Dominican Republic,339,33,11.2506
62,Ecuador,680,43,47.71486
63,Egypt,3422,39,8.805713
64,El Salvador,176,29,56.44505
65,Equatorial Guinea,73,91,6.363636
66,Eritrea,34,7,0.550964
67,Estonia,258,195,4.180791
68,Ethiopia,1394,15,99.90825
69,Faeroe Islands,9,179,38.56655
70,Falkland Islands ,1,258,33.33333
71,Fiji,31,36,62.00466
72,Finland,1374,252,19.53657
