team,Metropolitan area
Boston Red Sox,Boston
New York Yankees,New York City
Baltimore Orioles,Baltimore
Cleveland Indians,Cleveland
Detroit Tigers,Detroit
Chicago White Sox,Chicago
Kansas City Royals,Kansas City
Los Angeles Angels,Los Angeles
Washington Nationals,"Washington, D.C."
Philadelphia Phillies,Philadelphia
New York Mets,New York City
Milwaukee Brewers,Milwaukee
Chicago Cubs,Chicago
St. Louis Cardinals,St. Louis
Cincinnati Reds,Cincinnati
Los Angeles Dodgers,Los Angeles
San Francisco Giants,San Francisco Bay Area
Houston Astros,Houston
Toronto Blue Jays,Toronto
Atlanta Braves,Atlanta
Arizona Diamondbacks,Phoenix
Oakland Athletics,San Francisco Bay Area
Seattle Mariners,Seattle
Miami Marlins,Miami–Fort Lauderdale
San Diego Padres,San Diego
Pittsburgh Pirates,Pittsburgh
Texas Rangers,Dallas–Fort Worth
Tampa Bay Rays,Tampa Bay Area
Colorado Rockies,Denver
Minnesota Twins,Minneapolis–Saint Paul
