teamf,Metropolitan area
Boston Bruins*,Boston
Buffalo Sabres,Buffalo
Calgary Flames,Calgary
Chicago Blackhawks,Chicago
Columbus Blue Jackets*,Columbus
Dallas Stars,Dallas–Fort Worth
Colorado Avalanche*,Denver
Detroit Red Wings,Detroit
Edmonton Oilers,Edmonton
Vegas Golden Knights*,Las Vegas
Los Angeles Kings*,Los Angeles
Florida Panthers,Miami–Fort Lauderdale
Minnesota Wild*,Minneapolis–Saint Paul
Montreal Canadiens,Montreal
Nashville Predators*,Nashville
New York Islanders,New York City
New Jersey Devils*,New York City
New York Rangers,New York City
Ottawa Senators,Ottawa
Philadelphia Flyers*,Philadelphia
Arizona Coyotes,Phoenix
Pittsburgh Penguins*,Pittsburgh
Carolina Hurricanes,Raleigh
San Jose Sharks*,San Francisco Bay Area
St. Louis Blues,St. Louis
Tampa Bay Lightning*,Tampa Bay Area
Toronto Maple Leafs*,Toronto
Vancouver Canucks,Vancouver
Washington Capitals*,"Washington, D.C."
Winnipeg Jets*,Winnipeg
