teamf,Metropolitan area
Atlanta Braves,Atlanta
Baltimore Orioles,Baltimore
Boston Red Sox,Boston
Chicago White Sox,Chicago
Cincinnati Reds,Cincinnati
Cleveland Indians,Cleveland
Texas Rangers,Dallas–Fort Worth
Los Angeles Dodgers,Dallas–Fort Worth
Colorado Rockies,Denver
Detroit Tigers,Detroit
Kansas City Royals,Houston
Houston Astros,Houston
Kansas City Royals,Kansas City
Los Angeles Angels,Los Angeles
Miami Marlins,Miami–Fort Lauderdale
Milwaukee Brewers,Milwaukee
Minnesota Twins,Minneapolis–Saint Paul
New York Mets,Minneapolis–Saint Paul
New York Yankees,New York City
Philadelphia Phillies,Philadelphia
Arizona Diamondbacks,Phoenix
San Francisco Giants,Pittsburgh
Pittsburgh Pirates,Pittsburgh
Cincinnati Reds,Pittsburgh
San Diego Padres,San Diego
Oakland Athletics,San Francisco Bay Area
Seattle Mariners,Seattle
St. Louis Cardinals,St. Louis
Tampa Bay Rays,Tampa Bay Area
Toronto Blue Jays,Toronto
Washington Nationals,"Washington, D.C."
