teamf,Metropolitan area
Atlanta Hawks (15),Atlanta
-,Baltimore
Boston Celtics* (2),Boston
-,Buffalo
-,Calgary
Charlotte Hornets (10),Charlotte
Detroit Pistons (9),Chicago
Chicago Bulls (13),Chicago
-,Cincinnati
Cleveland Cavaliers* (4),Cleveland
-,Columbus
Dallas Mavericks (13),Dallas–Fort Worth
Denver Nuggets (9),Denver
Detroit Pistons (9),Detroit
Sacramento Kings (12),Edmonton
-,Green Bay
Washington Wizards* (8),Hamilton
Houston Rockets* (1),Houston
Indiana Pacers* (5),Indianapolis
-,Jacksonville
Oklahoma City Thunder* (4),Kansas City
Dallas Mavericks (13),Las Vegas
Los Angeles Lakers (11),Los Angeles
Los Angeles Clippers (10),Los Angeles
Memphis Grizzlies (14),Memphis
Miami Heat* (6),Miami–Fort Lauderdale
Milwaukee Bucks* (7),Milwaukee
Minnesota Timberwolves* (8),Minneapolis–Saint Paul
Toronto Raptors* (1),Montreal
-,Nashville
New Orleans Pelicans* (6),New Orleans
New York Knicks (11),New York City
Brooklyn Nets (12),New York City
Oklahoma City Thunder* (4),Oklahoma City
Orlando Magic (14),Orlando
-,Ottawa
Philadelphia 76ers* (3),Philadelphia
Phoenix Suns (15),Phoenix
-,Pittsburgh
Portland Trail Blazers* (3),Portland
-,Raleigh
-,Regina
Sacramento Kings (12),Sacramento
Utah Jazz* (5),Salt Lake City
San Antonio Spurs* (7),San Antonio
San Antonio Spurs* (7),San Diego
Golden State Warriors* (2),San Francisco Bay Area
Charlotte Hornets (10),Seattle
-,St. Louis
-,Tampa Bay Area
Toronto Raptors* (1),Toronto
-,Vancouver
Washington Wizards* (8),"Washington, D.C."
-,Winnipeg
